0	0
0.08	0.49738
0.16	0.963507
0.24	1.36909
0.32	1.68866
0.4	1.90211
0.48	1.99605
0.56	1.96457
0.64	1.80965
0.72	1.54103
0.8	1.17557
0.88	0.736249
0.96	0.250666
1.04	-0.250666
1.12	-0.736249
1.2	-1.17557
1.28	-1.54103
1.36	-1.80965
1.44	-1.96457
1.52	-1.99605
1.6	-1.90211
1.68	-1.68866
1.76	-1.36909
1.84	-0.963507
1.92	-0.49738
2	-4.89843e-016
2.08	0.49738
2.16	0.963507
2.24	1.36909
2.32	1.68866
2.4	1.90211
2.48	1.99605
2.56	1.96457
2.64	1.80965
2.72	1.54103
2.8	1.17557
2.88	0.736249
2.96	0.250666
3.04	-0.250666
3.12	-0.736249
3.2	-1.17557
3.28	-1.54103
3.36	-1.80965
3.44	-1.96457
3.52	-1.99605
3.6	-1.90211
3.68	-1.68866
3.76	-1.36909
3.84	-0.963507
3.92	-0.49738
4	0
